@relation sentiment

@attribute "1,-1" numeric
@attribute "1,-2" numeric
@attribute "1,-3" numeric
@attribute "1,-4" numeric
@attribute "1,-5" numeric
@attribute "2,-1" numeric
@attribute "2,-2" numeric
@attribute "2,-3" numeric
@attribute "2,-4" numeric
@attribute "2,-5" numeric
@attribute "3,-1" numeric
@attribute "3,-2" numeric
@attribute "3,-3" numeric
@attribute "3,-4" numeric
@attribute "3,-5" numeric
@attribute "4,-1" numeric
@attribute "4,-2" numeric
@attribute "4,-3" numeric
@attribute "4,-4" numeric
@attribute "4,-5" numeric
@attribute "5,-1" numeric
@attribute "5,-2" numeric
@attribute "5,-3" numeric
@attribute "5,-4" numeric
@attribute "5,-5" numeric
@attribute classification {P, PE}

@data
11,2,2,0,0,11,1,0,0,0,5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,PE
32,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
9,2,0,0,0,2,1,0,0,0,2,3,0,0,0,3,4,0,0,0,0,0,0,0,0,PE
12,1,0,0,0,3,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
15,4,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
20,1,0,0,0,8,2,0,0,0,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
71,3,4,0,0,7,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
29,0,0,0,0,9,1,0,0,0,7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,PE
22,4,0,0,0,5,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
19,3,0,0,0,4,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,PE
12,0,4,0,0,5,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PE
12,3,1,0,0,8,2,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
22,5,1,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
18,0,0,0,0,10,1,0,0,0,6,3,0,1,0,1,0,0,0,0,0,0,0,0,0,PE
68,8,3,0,0,8,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
27,3,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
79,3,2,0,0,5,2,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
23,3,0,0,0,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
10,1,0,0,0,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
25,2,0,0,0,3,1,0,0,0,4,2,0,0,0,1,0,0,0,0,1,0,0,0,0,PE
16,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,PE
19,5,2,0,0,12,1,0,0,0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
11,2,1,0,0,3,1,0,0,0,4,2,0,0,0,1,2,0,1,0,0,0,0,0,0,PE
15,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
21,2,0,0,0,6,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
22,4,0,0,0,5,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
14,1,0,0,0,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
16,4,0,0,0,2,1,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,PE
19,1,0,0,0,10,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
11,2,2,0,0,11,1,0,0,0,5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,PE
32,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
9,2,0,0,0,2,1,0,0,0,2,3,0,0,0,3,4,0,0,0,0,0,0,0,0,PE
12,1,0,0,0,3,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
15,4,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
20,1,0,0,0,8,2,0,0,0,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
71,3,4,0,0,7,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
29,0,0,0,0,9,1,0,0,0,7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,PE
22,4,0,0,0,5,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
47,1,0,0,0,5,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PE
10,2,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
16,0,0,0,0,2,1,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,PE
37,1,3,0,0,10,1,1,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
67,2,0,0,0,15,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
